% Model,WG_straight_副本.mph,,
% Version,COMSOL 6.2.0.339,,
% Date,"Sep 14 2025, 10:04",,
% Table,,,
% wg_width (um),sample_freq (1/s),neff (m^2),
0.9,1.71E+14,1.4396434934155333-5.621917095897259E-5i,1.34E-10
0.9,1.71E+14,1.4665535702699717-4.574019102307788E-11i,1.54E-12
0.9,1.72E+14,1.4374686020576442-1.3600203350546647E-4i,1.32E-10
0.9,1.72E+14,1.4378153604876294-1.3198395596590213E-4i,1.34E-10
0.9,1.72E+14,1.4386984835500432-1.0895810557151516E-4i,1.34E-10
0.9,1.72E+14,1.4400013194425878-5.80597613452212E-5i,1.61E-10
0.9,1.72E+14,1.4397974987201378-5.522995645553349E-5i,1.34E-10
0.9,1.72E+14,1.4675498592224754-3.0390472966995693E-11i,1.49E-12
0.9,1.73E+14,1.4376569309733052-1.330785494596759E-4i,1.32E-10
0.9,1.73E+14,1.437989850269562-1.2968909486078524E-4i,1.34E-10
0.9,1.73E+14,1.438862703375743-1.0705684655084627E-4i,1.34E-10
0.9,1.73E+14,1.4401570920979565-5.679179144038484E-5i,1.61E-10
0.9,1.73E+14,1.4399490094927605-5.426374286833121E-5i,1.34E-10
0.9,1.73E+14,1.46855729708946-2.0106114672214223E-11i,1.44E-12
0.9,1.74E+14,1.4378418216354298-1.3016621932992637E-4i,1.33E-10
0.9,1.74E+14,1.4381615066312703-1.2743094587458484E-4i,1.34E-10
0.9,1.74E+14,1.4390242689179336-1.0519959760285274E-4i,1.34E-10
0.9,1.74E+14,1.4403101066690818-5.556351618797099E-5i,1.61E-10
0.9,1.74E+14,1.4400980875455904-5.3319864540475934E-5i,1.34E-10
0.9,1.74E+14,1.4695757122576374-1.3246508691467862E-11i,1.39E-12
0.9,1.75E+14,1.4380233836088183-1.2737947010823769E-4i,1.33E-10
0.9,1.75E+14,1.4383303988779192-1.2523081996011727E-4i,1.34E-10
0.9,1.75E+14,1.4391832452182702-1.0338523269299564E-4i,1.34E-10
0.9,1.75E+14,1.4404604423231995-5.4373323061151306E-5i,1.61E-10
0.9,1.75E+14,1.440244792812706-5.239767380308933E-5i,1.34E-10
0.9,1.75E+14,1.4706049276520938-8.691497620929375E-12i,1.34E-12
0.9,1.76E+14,1.4382017026586185-1.246820268841759E-4i,1.33E-10
0.9,1.76E+14,1.438496594089091-1.2308532851961263E-4i,1.34E-10
0.9,1.76E+14,1.4393396954457358-1.0161234388417754E-4i,1.34E-10
0.9,1.76E+14,1.44060817524643-5.3219672477753516E-5i,1.61E-10
0.9,1.76E+14,1.4403891834393618-5.149654768954984E-5i,1.34E-10
